"title", source, price, sold, size, url
"veja Magazine 11 de Setembro de 2001 * 110 pages * Portuguese * April 2002 issue", eBay, $5.99, Available, Unknown, https://www.ebay.com/itm/193540100729?hash=item2d0fe39279:g:kyoAAOSwjFpegBAv
"Veja V10 Men's Leather Sneakers Sz US/7 EU/40(S-4182)", eBay, $110.00, Available, Unknown, https://www.ebay.com/itm/193519745499?hash=item2d0eacf9db:g:-E0AAOSwDcNe5-4M
"Spain-nº 65386-Guipuzcoa-Fuenterrabia-la parte veja", eBay, $8.51, Available, Unknown, https://www.ebay.com/itm/324193759160?hash=item4b7b742fb8:g:xKIAAOSw-Exe4Ko6
"veja sneakers 38", eBay, $100.00, Available, Unknown, https://www.ebay.com/itm/353101143802?hash=item523677defa:g:CAoAAOSwGXJe3vDt
"Madewell Veja Fruit Leather Tennis Shoes Womens 5", eBay, $84.99, Available, Unknown, https://www.ebay.com/itm/174268574891?hash=item2893376cab:g:FfQAAOSwtbBerKYT
"VEJA BRAZILIAN MAGAZINE ALMANAQUE BOLSONARO JANUARY 2019", eBay, $12.00, Available, Unknown, https://www.ebay.com/itm/174260130105?hash=item2892b69139:g:u3IAAOSwEwFdUzAo
"VEJA BRAZILIAN MAGAZINE 2616 BOLSONARO JANUARY 2019", eBay, $12.00, Available, Unknown, https://www.ebay.com/itm/184265177332?hash=item2ae70f78f4:g:wwEAAOSwC4FdVIN4
"VEJA BRAZILIAN MAGAZINE COMO BOLSONARO CHEGOU LA OCTOBER 2018", eBay, $12.00, Available, Unknown, https://www.ebay.com/itm/184265177342?hash=item2ae70f78fe:g:SIUAAOSwWQZdUyru
"VEJA BRAZILIAN MAGAZINE SPECIAL EDITION LULA'S ARREST APRIL 2018", eBay, $12.00, Available, Unknown, https://www.ebay.com/itm/184265177344?hash=item2ae70f7900:g:TAQAAOSwve5dUzKQ
"Veja Shoe Box-empty", eBay, $9.00, Available, Unknown, https://www.ebay.com/itm/274343187385?hash=item3fe020d3b9:g:QxMAAOSw4wVenoOB
"Veja - Sneakers - Sneakers T.41 - Authentic", eBay, $84.39, Available, Unknown, https://www.ebay.com/itm/114181484729?hash=item1a95bf30b9:g:P4gAAOSwJx1ekHWF
"Serviços do Brazil para todo mundo veja foto", eBay, $5.99, Available, Unknown, https://www.ebay.com/itm/303532002768?hash=item46abeacdd0:g:C1UAAOSwW35eiQAB
"VEJA ESPLAR LOGO WOMENS WHITE MENTHOL SNEAKERS EO022198 EOW022198 EUR 36 US 5", eBay, $95.00, Available, Unknown, https://www.ebay.com/itm/133377048646?hash=item1f0de44046:g:JFMAAOSwqIleVZFw
"Veja Esplar Low Leather Shoes - Black  Sz 10", eBay, $37.00, Available, Unknown, https://www.ebay.com/itm/153877207046?hash=item23d3cbd806:g:wkYAAOSwxMFeZxtr
"veja sneakers 45 VENTURI SUEDE TENT BLACK BROWN", eBay, $110.00, Available, Unknown, https://www.ebay.com/itm/124123393356?hash=item1ce654ad4c:g:IfgAAOSwPf1ec5Rt
"Veja Black Sneaker Size 24 White Sole & Gold ‘V’", eBay, $79.99, Available, Unknown, https://www.ebay.com/itm/333548717774?hash=item4da90d86ce:g:8oUAAOSwt1ZecFCZ
"Veja Mens two tone sneakers size 11", eBay, $89.99, Available, Unknown, https://www.ebay.com/itm/164122295149?hash=item2636737b6d:g:itEAAOSw0NZeavjQ
"veja shoes", eBay, $39.99, Available, Unknown, https://www.ebay.com/itm/153859340995?hash=item23d2bb3ac3:g:DgUAAOSwdaxeZxYM
"Veja Esplar Leather Low Top Sneaker - Men's 11.5", eBay, $99.95, Available, Unknown, https://www.ebay.com/itm/233520659321?hash=item365eea7b79:g:8FwAAOSwqwxeQs4Z
"VEJA V-10 Leather Sneakers Women sz US 6 (EUR 37)", eBay, $33.09, Available, Unknown, https://www.ebay.com/itm/333539005422?hash=item4da87953ee:g:gZsAAOSwmuBfj9yd
"VEJA ESPLAR LOGO MENS EXTRA WHITE SNEAKERS EA2001 EAM2001 EUR 41 US 8", eBay, $89.00, Available, Unknown, https://www.ebay.com/itm/133347121589?hash=item1f0c1b99b5:g:jhcAAOSwg0deWUoo
"VEJA V-10 VEGAN MENS WHITE NATURAL SNEAKERS VX072180 VXM072180 EUR 44 US 11", eBay, $125.00, Available, Unknown, https://www.ebay.com/itm/133347116995?hash=item1f0c1b87c3:g:na8AAOSwc4deWUez
"VEJA V-10 MENS EXTRA WHITE SNEAKERS VX021270 VXM021270 EUR 42 US 9", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133347111880?epid=26041289646&hash=item1f0c1b73c8:g:S5kAAOSwOmBeWUZ1
"VEJA V-10 VEGAN WHITE MARSALA RED SNEAKERS VX072153 EUR 41 US 8", eBay, $119.00, Available, Unknown, https://www.ebay.com/itm/133347111366?hash=item1f0c1b71c6:g:AXIAAOSwxF5fpbui
"As representacoes do Ira atraves da revista Veja (1979-1989) by Anderson New  ", eBay, $64.82, Available, Unknown, https://www.ebay.com/itm/392701622113?hash=item5b6ed73761:g:AvMAAOSwA5ReVTNq
"Case Blocks Design Green  Yellow And Pink For IPHONE 5", eBay, $8.83, Available, Unknown, https://www.ebay.com/itm/324080085018?hash=item4b74ada81a:g:R0YAAOSwPOhadFgc
"VEJA V-10 WOMENS WHITE BLACK SNEAKERS VX020005 VXW020005 EUR 41 US 10", eBay, $109.00, Available, Unknown, https://www.ebay.com/itm/133337044904?hash=item1f0b81d7a8:g:YTYAAOSwrL9eStSz
"Veja Brown Man leather Suede White X stitches Shoes Sneakers size 42 US Men's 9", eBay, $90.00, Available, Unknown, https://www.ebay.com/itm/164055579416?hash=item2632797b18:g:fdcAAOSw8dJeMh0A
"Obama in Time Magazine and Lula in Revista Veja by Pereira  Cristina New  ", eBay, $106.80, Available, Unknown, https://www.ebay.com/itm/392650939672?epid=167516264&hash=item5b6bd1dd18:g:ZHkAAOSwzvJfKhK2
"VEJA BASTILLE Gray Leather Sneakers Women’s Size US 5 EU 36", eBay, $69.00, Available, Unknown, https://www.ebay.com/itm/184138645163?hash=item2adf84beab:g:XocAAOSwO0VeJt2r
"NIB Beautiful Designer VEJA Infant Boys Sneakers 22 US 6", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/114066180140?hash=item1a8edfc82c:g:ZD4AAOSwzjxeHeF~
"Vertikalas ass veja turbinas lapstinas formas optimizacija by Valters New  ", eBay, $41.45, Available, Unknown, https://www.ebay.com/itm/312945527097?hash=item48dd01c939:g:ytIAAOSwoBFeHaVp
"VEJA X Industry Of All Nations Holiday Canvas Sneakers In Denim Blue Sz. 9/EU 42", eBay, $70.00, Available, Unknown, https://www.ebay.com/itm/133303421046?hash=item1f0980c876:g:guYAAOSwePpeHRb8
"Revistas Veja e Epoca: um olhar complexo  Larissa 9783639613896 New  ", eBay, $70.78, Available, Unknown, https://www.ebay.com/itm/312938434850?hash=item48dc959122:g:lQQAAOSwbndfL5el
"Veja Melderis", eBay, $20.72, Available, Unknown, https://www.ebay.com/itm/223825179406?hash=item341d05330e:i:223825179406
"Revistas Veja E Epoca: Um Olhar Complexo", eBay, $76.74, Available, Unknown, https://www.ebay.com/itm/184052572899?hash=item2ada6362e3:g:KyUAAOSwU4lfhvvB
"Veja Esplar Leather White Casual Sneaker  Brand New (US Men's 8  EUR 41)", eBay, $140.00, Available, Unknown, https://www.ebay.com/itm/312855589243?hash=item48d7a5717b:g:r3QAAOSw2VZd1thh
"Veja Esplar White Sneakers Size 7.5", eBay, $39.00, Available, Unknown, https://www.ebay.com/itm/303357964390?hash=item46a18b3066:i:303357964390
"VEJA Size 10 Burgundy Woven Knit AQUASHOW V KNIT Slip On Sneakers", eBay, $146.18, Available, Unknown, https://www.ebay.com/itm/143407816225?hash=item2163c59e21:g:9okAAOSwrpRdn22o
"Veja elektrostaciju tehniski ekonomiskais pamatojums  Arturs 9783639730333  ", eBay, $64.82, Available, Unknown, https://www.ebay.com/itm/392421236942?hash=item5b5e20e0ce:g:H1gAAOSwTB1fNGa5
"VEJA | Felicite Low Top 9 Womens Leather Canvas Sneakers Gray Pink", eBay, $24.99, Available, Unknown, https://www.ebay.com/itm/193040468825?hash=item2cf21bcb59:g:bhcAAOSwvdxdTORs
"Boys Veja Sneakers brand new", eBay, $80.00, Available, Unknown, https://www.ebay.com/itm/352707271036?hash=item521efdd97c:g:bPYAAOSwsMBdG3Fg
"RISA - VEJA O AMOR EM VOCE 7" RCA BRAZIL 1979 FUNK DISCO BOOGIE NM", eBay, $120.00, Available, Unknown, https://www.ebay.com/itm/254245871872?hash=item3b323c2100:g:gG4AAOSwLlJa47id
"Veja Women White Gray Leather Shoes Size Eu 41 Us 10", eBay, $95.00, Available, Unknown, https://www.ebay.com/itm/183810793927?hash=item2acbfa21c7:g:LjwAAOSwt-xc2n0t
"Engraving Press - Bison Of La Forest Of Bela-Veja", eBay, $10.15, Available, Unknown, https://www.ebay.com/itm/233222326934?hash=item364d224a96:g:qgcAAOSw5~pceoUX
"GIRLS VEJA METALLIC ZIP SNEAKERS  SIZE K9.5  B1859  $90", eBay, $79.99, Available, Unknown, https://www.ebay.com/itm/264270480561?hash=item3d87bf84b1:g:clcAAOSwSHZWeBrg
"Leia o livro  veja o filme  compre o disco: a formação do cinema juvenil brasile", eBay, $52.22, Available, Unknown, https://www.ebay.com/itm/312526101250?hash=item48c401db02:g:-WcAAOSwUwRfP~sa
"Etching press-bison forest of bela-veja", eBay, $9.73, Available, Unknown, https://www.ebay.com/itm/323717909518?hash=item4b5f174c0e:g:qgcAAOSw5~pceoUX
"Loma Linda - Vegetarian Veja- Links (19 oz.) - Kosher 1 3 6 12", eBay, $14.99 to $79.99, Available, Unknown, https://www.ebay.com/itm/401707971660?hash=item5d87a9344c:g:0jIAAOSwnI9cZc3R
"Loma Linda - Vegetarian Low Fat Veja- Links (19 oz.) - Kosher 1 3 6 12", eBay, $14.38 to $75.67, Available, Unknown, https://www.ebay.com/itm/173794325156?hash=item2876f2f2a4:g:smkAAOSwE1tcZca4
"VEJA ESPLAR LOGO EO020005 EXTRA WHITE BLACK", eBay, $104.95 to $114.95, Available, Unknown, https://www.ebay.com/itm/253219654545?hash=item3af5114b91:g:vYcAAOSwJxlgm-7j
"LITHUANIA. Bisons of Bela-Veja Forest c1885 old antique vintage print picture", eBay, $22.66, Available, Unknown, https://www.ebay.com/itm/272667005765?hash=item3f7c385345:g:q3AAAOSwPIhaDcdQ
"As Representacoes Do IRA Atraves Da Revista Veja (1979-1989) by Zanoni David And", eBay, $77.09, Available, Unknown, https://www.ebay.com/itm/381754704952?hash=item58e25a8438:g:-JUAAOSwpt1glA-N
